"","1","2","3","4","5","6","7","8","9","10","11","12","13","14"
"1",1,1,1,0,1,1,1,1,1,1,1,1,1,1
"2",1,1,1,0,1,1,1,1,1,1,1,1,1,1
"3",1,1,1,0,1,1,1,1,1,1,1,1,1,1
"4",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",0,0,1,0,1,0,1,1,0,0,0,0,1,1
"6",0,0,1,0,1,1,1,0,0,0,0,1,1,0
"7",1,1,1,0,1,0,1,1,1,1,0,1,1,1
"8",1,1,0,1,1,0,1,1,1,1,0,0,1,1
"9",1,1,0,1,1,0,1,1,1,1,0,0,1,1
"10",0,0,1,0,0,1,0,0,0,0,0,1,1,0
"11",0,0,1,0,0,1,0,0,0,0,0,1,1,0
"12",1,1,1,0,1,0,1,1,1,1,0,1,1,1
"13",1,1,1,0,1,1,1,1,1,1,0,1,1,1
"14",1,1,1,0,1,1,1,1,1,1,1,1,1,1
"15",1,1,1,0,1,1,1,1,1,1,1,1,1,1
"16",0,0,1,1,0,1,0,0,0,0,0,1,1,0
"17",0,0,1,1,1,1,0,0,0,0,0,1,0,0
"18",0,0,1,0,1,0,0,0,0,0,0,1,1,0
"19",0,0,1,0,0,0,0,0,0,0,0,1,1,0
"20",1,1,1,1,1,1,1,1,0,1,0,0,1,1
"21",1,1,0,1,1,0,1,1,0,1,0,0,1,1
"22",1,0,0,1,1,0,1,0,0,1,0,0,1,1
"23",0,0,0,1,1,0,1,0,0,1,0,0,0,1
"24",1,0,0,1,1,0,1,0,0,1,0,0,0,1
"25",0,0,0,1,0,0,0,0,0,0,0,0,0,1
"26",1,0,0,1,1,0,0,1,0,0,0,0,0,0
"27",1,0,0,1,1,0,0,1,0,0,0,0,0,0
"28",1,1,1,1,1,0,1,1,1,1,0,1,1,1
"29",1,1,1,0,1,0,1,1,1,1,0,1,1,1
"30",1,1,1,0,1,1,1,1,1,1,0,1,1,1
"31",0,0,1,0,0,0,0,0,0,0,0,1,0,0
"32",1,1,1,1,1,1,1,1,0,1,0,1,1,1
"33",1,1,1,1,1,1,1,1,0,1,0,1,1,1
"34",1,0,0,1,1,0,1,1,1,0,0,0,1,1
"35",1,1,0,1,1,0,1,1,1,1,0,0,1,1
"36",1,0,0,1,1,0,1,1,1,1,0,0,0,1
"37",0,1,0,1,0,0,0,1,0,0,0,0,0,1
"38",1,0,1,0,0,0,0,0,0,1,0,1,1,1
"39",1,1,1,1,1,1,1,1,1,1,0,1,1,1
"40",1,1,1,1,1,1,1,1,0,1,1,1,1,1
"41",1,0,1,1,1,0,1,1,0,1,0,0,1,1
"42",0,0,1,0,1,0,0,1,1,1,0,1,1,1
"43",0,0,1,0,0,0,0,0,0,0,0,0,0,0
"44",0,0,1,0,1,0,1,1,0,0,0,1,1,0
"45",0,0,0,0,0,0,0,0,0,0,0,0,1,1
"46",1,1,0,0,1,0,1,1,0,0,0,1,1,0
"47",0,0,1,1,1,0,0,0,0,0,0,1,0,0
"48",0,0,1,1,1,0,0,0,0,0,0,1,0,0
"49",1,1,1,1,1,0,1,1,0,1,0,1,1,1
"50",0,0,0,0,1,0,1,1,1,1,0,1,1,1
"51",1,0,0,0,0,0,1,1,1,1,0,1,1,1
"52",1,0,1,1,1,1,0,0,0,0,0,1,1,1
"53",0,1,0,0,1,1,1,1,0,1,0,1,1,1
"54",0,0,1,0,1,0,0,1,0,0,0,1,1,0
"55",0,0,1,0,1,0,0,0,0,0,0,1,1,0
"56",0,0,1,0,0,0,0,0,0,0,0,1,1,0
"57",0,0,1,0,0,0,0,0,0,0,0,1,1,0
"58",0,0,1,0,0,0,0,0,0,0,0,1,1,0
"59",0,0,1,0,0,1,0,0,0,0,0,1,1,0
"60",0,1,1,1,1,0,1,1,1,0,0,1,1,1
"61",0,1,1,0,1,0,1,1,0,0,0,1,0,0
"62",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"63",1,1,1,0,1,1,1,1,1,1,0,1,1,1
"64",1,0,1,0,1,0,0,1,1,1,0,1,1,1
"65",0,0,1,0,0,0,0,1,0,0,0,0,0,0
"66",1,0,1,0,1,0,0,0,0,0,0,0,1,0
"67",1,1,1,0,1,0,1,1,1,1,0,1,1,1
"68",0,0,1,0,0,0,0,0,0,0,0,1,0,0
"69",1,1,1,1,1,1,1,1,0,1,0,0,1,1
"70",1,1,0,1,1,0,1,1,0,1,0,0,1,1
"71",1,0,1,0,0,0,0,1,0,0,0,1,1,0
"72",0,0,1,0,1,0,0,1,0,0,0,1,1,0
"73",0,0,1,1,1,0,0,1,0,0,0,1,1,0
"74",0,0,1,0,0,0,0,0,0,0,0,1,0,0
"75",0,0,1,0,0,1,0,0,0,0,0,1,0,0
"76",0,1,0,0,1,0,1,0,0,1,0,1,1,0
"77",1,1,0,0,1,0,1,0,1,1,0,1,1,0
"78",0,1,1,0,1,0,1,0,0,1,0,1,1,0
"79",1,1,0,0,1,0,1,0,0,0,0,0,1,1
"80",1,1,1,1,1,0,1,1,0,1,0,1,1,1
"81",1,1,1,1,1,0,1,1,1,1,0,0,1,1
"82",0,0,1,1,1,1,1,0,0,1,0,0,1,1
"83",1,0,0,1,1,0,1,1,1,1,0,1,1,1
"84",0,0,0,0,1,0,1,1,0,0,0,0,1,0
"85",0,0,0,0,0,0,1,0,1,0,0,0,1,0
"86",0,0,1,0,1,0,0,1,0,1,0,1,1,0
"87",0,0,0,1,1,0,1,1,0,0,0,0,1,0
"88",0,0,0,0,1,0,1,1,0,0,0,1,1,1
"89",1,1,1,1,1,1,1,0,1,1,0,1,1,1
"90",1,1,1,0,1,0,0,1,0,1,0,1,1,1
"91",1,0,1,0,1,0,0,0,1,0,0,0,1,1
"92",1,0,0,0,1,1,1,1,0,0,0,0,1,1
"93",0,0,0,0,1,0,1,0,0,0,0,0,0,0
"94",1,1,1,1,1,1,1,1,1,1,0,1,1,1
"95",1,0,1,1,1,0,1,1,1,1,0,1,1,1
"96",1,0,1,1,1,1,1,1,0,1,0,1,1,1
"97",1,1,1,1,1,1,1,1,1,1,0,1,1,1
"98",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"99",1,1,1,1,1,1,1,1,1,1,0,1,1,1
"100",1,1,1,1,1,1,1,1,1,1,0,1,1,1
