"","1","2","3","4","5","6","7","8","9","10","11","12","13","14"
"1",9.9999723,9.9999999877,9.9999558,0,9.99999999599,9.823,9.99999394,9.89,9.418,8.84,9.99956,4.68,9.999999999449,9.999999876
"2",9.99999999115,9.999752,10,0,9.999813,9.9728,9.999999051,9.9999999095,9.99999999275,10,9.999999999514,10,10,10
"3",10,1.97,10,0,9.9999943,9.575,9.9797,9.99999132,6.29,9.99999999859,9.999475,10,10,9.99999999999987
"4",9.9999854,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",0,0,6.65,0,9.999999339,0,9.549,9.999999081,0,0,0,0,9.99468,7.55
"6",0,0,9.999865,0,9.999999502,6.99,9.999168,0,0,0,0,9.99999774,0.32,0
"7",9.999781,9.999807,9.99999869,0,9.99999999189,0,9.999418,9.99869,9.999517,9.99999881,0,9.9999264,9.999999743,9.999999645
"8",9.99999999999367,9.999999868,0,9.9072,10,0,9.99999999999999,9.9999999999706,9.9758,9.37,0,0,9.99882,9.9999873
"9",10,9.99621,0,10,10,0,10,10,9.84,9.99344,0,0,9.9999354,9.9006
"10",0,0,9.99999999999994,0,0,9.9999065,0,0,0,0,0,9.99999999999482,9.893,0
"11",0,0,9.99999999999991,0,0,8.8,0,0,0,0,0,9.9999975,9.9889,0
"12",10,9.99999999756,9.99208,0,9.99999824,0,10,9.9999999999669,9.9999657,10,0,9.833,9.9999999999999,10
"13",9.999999805,9.9341,9.999868,0,9.9999999536,2.45,9.9999999999831,9.999122,9.99999999999983,9.999999551,0,9.047,9.999999999863,9.99999999858
"14",9.999999999499,9.9999975,10,0,9.9999999821,0.98,9.999217,9.9999999999918,9.99999999999792,10,10,10,10,10
"15",10,9.99999999999975,10,0,10,7.74,10,10,10,10,10,10,10,10
"16",0,0,10,9.99358,0,9.999999999899,0,0,0,0,0,10,9.99999999906,0
"17",0,0,9.9999999849,9.999744,9.75,9.99999473,0,0,0,0,0,10,0,0
"18",0,0,10,0,0.35,0,0,0,0,0,0,10,9.886,0
"19",0,0,9.9999999999472,0,0,0,0,0,0,0,0,9.9999999999761,9.99823,0
"20",9.9999399,6.21,9.725,9.99476,9.9999999999867,5.99,9.787,9.99066,0,10,0,0,9.9999461,9.99999999777
"21",9.999982,9.9863,0,9.99999805,10,0,9.99111,9.9999224,0,9.9999999999875,0,0,9.99999999668,9.9999999471
"22",3.73,0,0,9.999845,3.62,0,9.778,0,0,9.9745,0,0,9,3.19
"23",0,0,0,9.999664,8.88,0,5.72,0,0,9.786,0,0,0,9.842
"24",5.54,0,0,9.99999102,9.9999143,0,9.9742,0,0,9.977,0,0,0,9.773
"25",0,0,0,9.99631,0,0,0,0,0,0,0,0,0,9.9007
"26",9.701,0,0,9.99999605,9.99999999206,0,0,9.99999999587,0,0,0,0,0,0
"27",2.94,0,0,9.99343,9.99804,0,0,9.99999819,0,0,0,0,0,0
