motif_DB	motif_ID	seq_ID	FASTA_score	PWM_score	class
motifs.meme	16	WBGene00022146	661	8538.04	tp
motifs.meme	16	WBGene00013734	260	8405.72	tp
motifs.meme	16	WBGene00012717	1594	8280.26	fp
motifs.meme	16	WBGene00016938	1137	8280.05	fp
motifs.meme	16	WBGene00009159	170	8279.99	tp
motifs.meme	16	WBGene00014965	1631	8275.8	fp
motifs.meme	16	WBGene00016129	2069	8273.7	fp
motifs.meme	16	WBGene00013461	1751	8271.89	fp
motifs.meme	16	WBGene00008384	2299	8271.59	fp
motifs.meme	16	WBGene00019550	3338	8271.52	fp
motifs.meme	16	WBGene00008376	2360	1060.14	fp
motifs.meme	16	WBGene00009851	165	657.744	tp
motifs.meme	16	WBGene00020298	2106	542.538	fp
motifs.meme	16	WBGene00013865	3114	532.331	fp
motifs.meme	16	WBGene00010248	4155	525.85	fp
motifs.meme	16	WBGene00016508	463	525.683	tp
motifs.meme	16	WBGene00013406	379	523.674	tp
motifs.meme	16	WBGene00013373	368	272.739	tp
motifs.meme	16	WBGene00022114	2911	268.438	fp
motifs.meme	16	WBGene00021931	962	266.847	fp
motifs.meme	16	WBGene00021359	628	148.907	tp
motifs.meme	16	WBGene00007797	1310	142.589	fp
motifs.meme	16	WBGene00012241	436	136.484	tp
motifs.meme	16	WBGene00016619	3136	136.348	fp
motifs.meme	16	WBGene00018965	3568	134.511	fp
motifs.meme	16	WBGene00022075	680	134.271	tp
motifs.meme	16	WBGene00018742	2667	134.268	fp
motifs.meme	16	WBGene00044481	4385	134.234	fp
motifs.meme	16	WBGene00011224	1457	134.199	fp
motifs.meme	16	WBGene00021855	1996	134.198	fp
motifs.meme	16	WBGene00014020	1656	134.197	fp
motifs.meme	16	WBGene00012343	371	134.196	tp
motifs.meme	16	WBGene00007949	2941	134.167	fp
motifs.meme	16	WBGene00018341	446	134.163	tp
motifs.meme	16	WBGene00016109	4329	132.569	fp
motifs.meme	16	WBGene00020286	671	132.373	tp
motifs.meme	16	WBGene00008604	4166	132.335	fp
motifs.meme	16	WBGene00007929	2948	132.228	fp
motifs.meme	16	WBGene00010837	3782	132.227	fp
motifs.meme	16	WBGene00007545	1291	132.225	fp
motifs.meme	16	WBGene00007226	1279	132.224	fp
motifs.meme	16	WBGene00008455	81	132.193	tp
motifs.meme	16	WBGene00015073	1674	132.188	fp
motifs.meme	16	WBGene00008861	770	132.158	fp
motifs.meme	16	WBGene00235102	712	132.157	tp
motifs.meme	16	WBGene00022368	555	132.157	tp
motifs.meme	16	WBGene00018743	413	132.137	tp
motifs.meme	16	WBGene00015811	405	132.128	tp
motifs.meme	16	WBGene00008763	2376	132.125	fp
motifs.meme	16	WBGene00008859	88	132.123	tp
motifs.meme	16	WBGene00022792	548	132.1	tp
motifs.meme	16	WBGene00010726	161	132.094	tp
motifs.meme	16	WBGene00044452	1015	132.093	fp
motifs.meme	16	WBGene00010682	4230	132.091	fp
motifs.meme	16	WBGene00021027	4268	132.09	fp
motifs.meme	16	WBGene00012998	1588	132.089	fp
motifs.meme	16	WBGene00008768	102	132.06	tp
motifs.meme	16	WBGene00021559	650	132.059	tp
motifs.meme	16	WBGene00013757	3915	132.059	fp
motifs.meme	16	WBGene00009625	3006	132.058	fp
motifs.meme	16	WBGene00011427	2431	132.056	fp
motifs.meme	16	WBGene00021248	702	18.9019	tp
motifs.meme	16	WBGene00011898	1694	16.7861	fp
motifs.meme	16	WBGene00018778	257	16.7589	tp
motifs.meme	16	WBGene00015507	335	14.7242	tp
motifs.meme	16	WBGene00021960	667	11.0432	tp
motifs.meme	16	WBGene00018580	4085	11.0101	fp
motifs.meme	16	WBGene00007487	1263	10.8518	fp
motifs.meme	16	WBGene00020758	675	10.8421	tp
motifs.meme	16	WBGene00013553	2309	10.6738	fp
motifs.meme	16	WBGene00013789	1653	10.6089	fp
motifs.meme	16	WBGene00013849	2539	10.6013	fp
motifs.meme	16	WBGene00007216	22	10.5378	tp
motifs.meme	16	WBGene00044746	637	10.5377	tp
motifs.meme	16	WBGene00015011	457	10.5354	tp
motifs.meme	16	WBGene00009054	4156	10.5085	fp
motifs.meme	16	WBGene00012339	2558	10.4731	fp
motifs.meme	16	WBGene00012942	2593	8.90523	fp
motifs.meme	16	WBGene00007938	2949	8.8976	fp
motifs.meme	16	WBGene00008385	1302	8.89648	fp
motifs.meme	16	WBGene00018975	2242	8.87007	fp
motifs.meme	16	WBGene00008868	2989	8.83941	fp
motifs.meme	16	WBGene00021323	2138	8.69812	fp
motifs.meme	16	WBGene00013639	4199	8.5967	fp
motifs.meme	16	WBGene00018426	516	8.57643	tp
motifs.meme	16	WBGene00012927	1661	8.53475	fp
motifs.meme	16	WBGene00019319	1183	8.53303	fp
motifs.meme	16	WBGene00007089	6	8.53194	tp
motifs.meme	16	WBGene00009878	232	8.53153	tp
motifs.meme	16	WBGene00010061	1411	8.52788	fp
motifs.meme	16	WBGene00021443	2087	8.52779	fp
motifs.meme	16	WBGene00018132	255	8.52654	tp
motifs.meme	16	WBGene00017910	3968	8.4928	fp
motifs.meme	16	WBGene00010229	1509	8.4923	fp
motifs.meme	16	WBGene00020766	3314	8.46774	fp
motifs.meme	16	WBGene00017025	2002	8.46717	fp
motifs.meme	16	WBGene00018226	2216	8.46326	fp
motifs.meme	16	WBGene00017886	1900	8.45995	fp
motifs.meme	16	WBGene00015581	2210	8.45995	fp
motifs.meme	16	WBGene00021148	3572	8.43059	fp
motifs.meme	16	WBGene00007722	751	8.42961	fp
motifs.meme	16	WBGene00021020	3638	8.42799	fp
motifs.meme	16	WBGene00022192	593	8.42678	tp
motifs.meme	16	WBGene00022185	682	8.40127	tp
motifs.meme	16	WBGene00018161	408	8.39746	tp
motifs.meme	16	WBGene00007202	1292	8.39525	fp
motifs.meme	16	WBGene00007580	4119	8.39427	fp
motifs.meme	16	WBGene00012766	1704	8.39357	fp
motifs.meme	16	WBGene00013235	1666	8.3915	fp
motifs.meme	16	WBGene00020933	587	8.36532	tp
motifs.meme	16	WBGene00012037	1573	8.36443	fp
motifs.meme	16	WBGene00021721	1842	8.36174	fp
motifs.meme	16	WBGene00021564	1913	6.47176	fp
motifs.meme	16	WBGene00021681	583	6.43672	tp
motifs.meme	16	WBGene00020803	3280	4.72465	fp
motifs.meme	16	WBGene00018640	2678	4.70232	fp
motifs.meme	16	WBGene00016115	475	4.60046	tp
motifs.meme	16	WBGene00021024	634	4.52585	tp
motifs.meme	16	WBGene00018744	3185	4.52547	fp
motifs.meme	16	WBGene00008079	4131	4.52457	fp
motifs.meme	16	WBGene00018470	3186	4.45951	fp
motifs.meme	16	WBGene00009588	181	4.45681	tp
