motif_DB	motif_ID	seq_ID	FASTA_score	PWM_score	class
motifs.meme	33	WBGene00030530	208	324.492	fp
motifs.meme	33	WBGene00088028	2191	321.784	fp
motifs.meme	33	WBGene00023712	4139	321.349	fp
motifs.meme	33	WBGene00037741	3507	321.313	fp
motifs.meme	33	WBGene00026585	3623	321.303	fp
motifs.meme	33	WBGene00033697	3470	321.251	fp
motifs.meme	33	WBGene00040838	3537	321.129	fp
motifs.meme	33	WBGene00026945	25	191.455	tp
motifs.meme	33	WBGene00041027	4041	191.246	fp
motifs.meme	33	WBGene00034746	4313	188.768	fp
motifs.meme	33	WBGene00040094	255	185.856	fp
motifs.meme	33	WBGene00033623	4253	185.561	fp
motifs.meme	33	WBGene00029689	3632	185.474	fp
motifs.meme	33	WBGene00028282	4230	185.408	fp
motifs.meme	33	WBGene00026845	2695	185.399	fp
motifs.meme	33	WBGene00039188	4054	15.824	fp
motifs.meme	33	WBGene00035632	279	12.6597	fp
motifs.meme	33	WBGene00040756	1538	11.8626	fp
motifs.meme	33	WBGene00028251	1994	11.74	fp
motifs.meme	33	WBGene00025495	2261	11.7135	fp
motifs.meme	33	WBGene00036117	2501	11.5744	fp
motifs.meme	33	WBGene00029411	3630	11.4568	fp
motifs.meme	33	WBGene00033831	743	10.3675	fp
motifs.meme	33	WBGene00025918	3603	10.2626	fp
motifs.meme	33	WBGene00035604	807	10.1331	fp
motifs.meme	33	WBGene00025628	1678	10.1322	fp
motifs.meme	33	WBGene00037024	2434	10.0388	fp
motifs.meme	33	WBGene00031470	1270	9.98467	fp
motifs.meme	33	WBGene00025238	2246	9.93418	fp
motifs.meme	33	WBGene00036638	2861	9.93067	fp
motifs.meme	33	WBGene00041802	18	9.9276	tp
motifs.meme	33	WBGene00032214	26	9.27618	tp
motifs.meme	33	WBGene00038464	236	9.21392	fp
motifs.meme	33	WBGene00041864	1866	9.15342	fp
motifs.meme	33	WBGene00034236	2415	9.13129	fp
motifs.meme	33	WBGene00023562	1654	9.10012	fp
motifs.meme	33	WBGene00041550	2969	9.0321	fp
motifs.meme	33	WBGene00026847	1713	9.03194	fp
motifs.meme	33	WBGene00038568	4740	6.78826	fp
motifs.meme	33	WBGene00028454	3671	6.10552	fp
motifs.meme	33	WBGene00086897	2	6.09972	tp
